OUT_ID	B11	B110	B111	B12	B13	B14	B15	B16	B17	B18	B19	BM1	BM2	BM3	BM4	BM5	BM6	BM7	BR11	BR12	BR13	BR14	BR15	BR16	BR17	BR18	BR21	BR22	BR23	BR24	BR25	BR26	BR27	BR28	BT21	BT22	BT23	BT24	BT25	BT26	BT27	BT31	BT32	BT33	BT34	BT35	BT36	BT37
o__Bacteroidales;f__;g__	150	0	0	40	37	32	0	15	15	0	0	39	51	56	42	77	31	0	25	0	0	0	0	5	0	0	56	42	15	22	0	10	0	0	61	43	43	47	73	32	27	47	94	85	92	138	120	70
f__Bacteroidaceae;g__Bacteroides	3023	76	0	1584	1259	695	104	227	252	96	55	3128	4440	2769	1605	1352	207	132	4894	2931	2097	2303	1304	537	319	176	3512	2631	1485	1732	503	329	221	287	4268	4541	3332	2969	2534	1054	342	4543	4950	4558	3469	2424	1852	1129
f__Porphyromonadaceae;g__Paludibacter	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0	27	0	7	0	0	0	0	0	9	0	0	0	0	0	0	18	0	0	0	0	0	0
f__Porphyromonadaceae;g__Parabacteroides	471	0	0	276	195	140	0	50	16	0	0	497	640	375	54	21	0	0	575	274	826	849	1414	1298	530	592	275	676	609	697	751	451	212	64	510	467	351	560	456	339	120	581	724	731	439	149	103	30
f__Porphyromonadaceae;g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Prevotellaceae;g__Prevotella	233	0	0	160	129	132	177	0	0	0	0	74	18	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	70	0	36	0	14	52	204	172	139	31	0	0	0
f__Rikenellaceae;__	0	0	0	0	0	0	0	0	35	0	0	103	40	52	18	0	0	0	134	52	0	0	0	0	0	0	68	48	126	0	0	0	0	0	66	0	100	0	145	0	0	31	0	19	0	0	0	0
f__Rikenellaceae;g__	45	0	0	53	0	0	0	0	0	0	0	601	317	426	302	351	0	44	647	150	46	51	0	0	35	0	586	224	57	60	0	0	0	0	314	282	136	238	47	129	0	459	301	258	328	201	31	0
f__Rikenellaceae;g__Alistipes	121	0	0	65	162	79	46	84	71	0	0	1218	265	244	142	142	0	0	1408	227	100	86	0	32	38	0	1409	204	211	226	0	0	0	0	647	145	203	197	259	41	0	1241	647	636	720	787	309	188
o__Bacteroidales;f__S24-7;g__	495	0	0	526	599	466	183	243	214	0	0	1046	92	24	92	142	0	5	89	7	0	0	22	19	0	0	565	264	19	0	0	0	15	0	734	155	102	189	239	261	117	285	43	266	305	298	288	139
f__[Barnesiellaceae];__	85	0	0	0	0	0	35	0	0	24	0	137	79	109	63	33	0	0	273	57	78	107	49	0	0	0	154	82	47	74	0	0	0	0	99	43	40	28	53	0	0	166	95	83	71	57	36	0
f__[Barnesiellaceae];g__	0	0	0	0	32	38	0	64	47	0	0	468	128	201	178	147	23	0	468	119	151	252	178	85	0	41	349	178	225	203	90	57	0	35	197	74	93	62	83	118	0	222	97	154	165	111	139	104
f__[Barnesiellaceae];g__Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Odoribacteraceae];g__Butyricimonas	51	0	0	0	28	24	0	0	0	0	0	270	30	57	145	29	0	0	192	47	46	83	35	21	0	0	593	258	256	428	113	54	0	0	179	58	26	86	96	0	0	371	359	319	328	316	106	99
f__[Odoribacteraceae];g__Odoribacter	0	0	0	0	0	0	0	0	0	0	0	146	38	50	15	8	0	0	107	21	13	27	0	0	0	0	53	24	9	23	0	0	0	0	60	21	13	8	15	0	0	171	100	98	84	69	70	37
f__[Paraprevotellaceae];g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Paraprevotellaceae];g__Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Paraprevotellaceae];g__[Prevotella]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Anaerolinaceae;g__SHD-231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Streptophyta;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Firmicutes;__;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
f__Gemellaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Gemellaceae;g__Gemella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Lactobacillales;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Aerococcaceae;g__Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Aerococcaceae;g__Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Aerococcaceae;g__Facklamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Carnobacteriaceae;g__Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Enterococcaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	8	119	72	0	0	0	0	0	0	0
f__Enterococcaceae;g__Enterococcus	0	32	30	0	0	0	0	0	0	62	43	0	35	0	0	0	0	0	0	94	0	25	1169	385	1934	1075	0	0	0	0	4	34	0	0	0	0	54	0	0	18	0	0	0	0	0	0	38	82
f__Lactobacillaceae;g__Lactobacillus	234	554	1097	829	716	454	372	358	522	773	369	0	0	0	377	646	1022	454	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759	54	0	0	0	0	45	1147	1241	1073	595
f__Streptococcaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Streptococcaceae;g__Lactococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	35	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
f__Streptococcaceae;g__Streptococcus	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	185	254	72	56	0	21	0	0	0	0	0	0	0	0	0	0	0	13	24	0	0	0	0	0	0	0	0	0
f__Turicibacteraceae;g__Turicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Clostridiales;__;__	0	0	0	0	0	0	0	0	4	0	0	0	0	0	61	37	0	0	0	220	84	156	50	78	23	19	0	9	26	84	15	3	0	20	0	0	0	29	87	0	0	0	0	0	0	63	38	0
o__Clostridiales;f__;g__	1076	0	0	93	100	70	0	46	32	12	0	2055	607	505	542	677	223	69	1138	53	169	170	85	46	82	19	1734	337	328	287	85	0	70	47	1309	76	191	181	280	83	0	2030	1099	1364	723	597	380	149
f__Christensenellaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	7	0	0	0	0	0	0	12	0	0	0	0	0	0
f__Clostridiaceae;__	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	14	39	0	0	0	0	0	0	0
f__Clostridiaceae;g__	0	26	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	29	106	0	0	0	7	0	0	73	0	0	0	0	0	0	0	0	127	105	0	0	0	0	0	0	0
f__Clostridiaceae;g__Clostridium	57	5498	5996	12	0	16	38	32	25	461	4854	58	69	46	54	86	1955	2591	175	65	87	55	6630	8960	7961	8590	79	86	84	161	7967	12138	6308	5210	47	49	224	62	318	13428	14085	93	63	58	63	72	404	4488
f__Lachnospiraceae;__	105	200	247	196	499	810	326	1183	1226	233	217	0	17	29	163	204	58	0	32	258	34	78	0	112	53	95	0	90	61	32	137	82	141	231	42	0	114	403	505	72	0	23	102	27	188	83	46	0
f__Lachnospiraceae;g__	240	0	0	332	519	629	181	237	302	0	0	172	269	172	26	0	0	0	272	143	182	248	49	0	0	0	136	530	160	397	29	0	0	0	365	414	210	170	209	0	0	254	335	198	91	0	0	0
f__Lachnospiraceae;g__Anaerostipes	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
f__Lachnospiraceae;g__Blautia	81	0	33	392	412	427	91	539	458	150	43	0	0	135	419	764	858	500	0	591	298	328	183	52	0	0	0	404	264	139	58	0	0	0	0	53	277	422	661	94	79	0	126	305	205	124	41	178
f__Lachnospiraceae;g__Catonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lachnospiraceae;g__Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lachnospiraceae;g__Coprococcus	0	92	47	775	281	260	859	1148	1006	296	20	0	386	775	528	0	0	0	109	138	131	0	79	58	0	0	153	175	0	64	0	0	0	0	101	1692	289	606	318	0	41	230	37	714	373	133	68	0
f__Lachnospiraceae;g__Dorea	0	0	0	318	176	246	5814	1593	903	278	53	0	65	1187	828	815	243	119	50	213	0	45	7	0	0	0	0	273	33	0	0	0	0	0	0	271	571	825	370	56	88	26	215	589	1185	893	356	562
f__Lachnospiraceae;g__Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lachnospiraceae;g__Lachnobacterium	32	0	0	0	104	401	61	0	0	0	0	0	135	233	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	87	0	0	0	0	176	166	0	0	0	0	0
f__Lachnospiraceae;g__Lachnospira	319	18	0	122	209	225	102	226	291	0	18	345	48	183	59	0	10	0	841	142	93	47	0	0	0	0	580	162	34	27	0	0	14	0	504	633	623	275	523	0	0	689	581	993	398	68	7	0
f__Lachnospiraceae;g__Moryella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lachnospiraceae;g__Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Lachnospiraceae;g__Roseburia	264	0	0	80	554	384	25	0	0	0	0	292	4189	519	282	0	0	0	230	0	0	0	0	0	136	0	279	59	0	0	0	0	0	0	569	246	0	0	0	0	0	320	1394	0	0	0	0	0
f__Lachnospiraceae;g__Ruminococcus	0	0	0	0	0	0	0	31	47	0	0	43	0	98	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0
f__Lachnospiraceae;g__[Ruminococcus]	0	157	115	213	59	65	278	273	324	61	95	0	48	226	449	358	91	69	0	362	648	449	766	558	324	503	0	207	460	714	484	267	496	455	7	267	163	198	62	82	0	0	60	61	121	89	143	62
f__Peptostreptococcaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	46	15	0	15	0	0	4	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Peptostreptococcaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	16	0	0	0	0	0	0	28	15	0	0	0	0	0
f__Peptostreptococcaceae;g__Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Peptostreptococcaceae;g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Peptostreptococcaceae;g__[Clostridium]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Ruminococcaceae;__	116	0	0	0	0	0	0	0	0	16	0	202	232	0	109	59	0	0	354	72	120	148	97	38	21	58	258	140	65	156	24	0	0	0	272	0	0	9	0	0	0	189	86	167	87	52	0	0
f__Ruminococcaceae;g__	179	0	0	0	0	0	0	0	0	0	0	332	0	38	0	9	0	0	122	0	74	50	12	0	0	0	410	14	60	313	96	214	106	93	261	0	0	11	9	0	0	168	7	0	17	42	25	13
f__Ruminococcaceae;g__Butyricicoccus	0	0	0	27	0	37	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	0	0	0	0	41	42	0	0	0	0	0	44	105	89	63	0	0
f__Ruminococcaceae;g__Faecalibacterium	1207	0	0	0	0	0	0	0	32	0	0	522	143	0	0	0	0	0	1983	0	0	0	34	0	0	0	1470	422	191	43	0	42	20	0	2370	25	86	0	0	0	0	3160	727	298	157	43	62	0
f__Ruminococcaceae;g__Gemmiger	332	45	29	475	655	597	149	231	208	0	0	321	288	270	0	189	59	0	305	191	74	82	19	18	25	0	766	290	93	137	0	17	0	0	574	335	163	146	72	36	0	352	450	522	437	327	180	59
f__Ruminococcaceae;g__Oscillospira	102	0	0	0	46	57	0	0	0	0	0	207	254	123	222	173	0	0	454	82	33	14	0	0	0	0	478	143	129	230	18	0	0	0	486	19	55	13	43	0	0	335	189	134	60	30	28	0
f__Ruminococcaceae;g__Ruminococcus	9	0	0	0	0	0	11	0	0	0	0	118	0	28	19	47	20	0	412	192	159	272	69	0	0	0	486	173	113	131	15	0	11	0	123	0	16	13	56	39	0	502	194	286	103	87	33	14
f__Veillonellaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Veillonellaceae;g__Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Veillonellaceae;g__Dialister	0	891	959	0	0	0	0	9	0	49	549	0	0	0	7	25	170	124	0	0	386	501	978	206	241	45	33	0	310	426	925	148	0	107	0	0	0	0	303	84	59	74	0	0	15	20	0	0
f__Veillonellaceae;g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Veillonellaceae;g__Phascolarctobacterium	257	0	9	50	71	24	0	34	0	15	0	248	88	84	196	285	41	57	564	354	984	2058	959	607	238	402	798	1090	992	1849	430	229	349	186	267	154	34	252	232	0	28	600	130	199	304	260	305	202
f__Veillonellaceae;g__Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Mogibacteriaceae];g__	12	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	44	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	69	0	0	0	19	0	0	182	0	0	0	0	10	0
f__[Tissierellaceae];g__1-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Tissierellaceae];g__Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	925	917	2369	2886	0	0	0	39	607	656	2767	2648	0	0	0	0	135	1080	1368	0	0	0	0	0	0	22
f__[Tissierellaceae];g__Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	73	82	0	0	0	0	0	0	3	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Tissierellaceae];g__Gallicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Tissierellaceae];g__Parvimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__[Tissierellaceae];g__Peptoniphilus	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	39	51	666	635	932	1168	0	0	72	166	915	1994	3397	2806	0	0	0	0	0	0	82	0	9	0	0	0	0	53
c__Clostridia;o__SHA-98;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Erysipelotrichaceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Erysipelotrichaceae;g__	81	140	205	3871	3258	4287	1159	1847	2195	503	199	31	4833	9262	7091	3194	430	94	33	17513	15020	12743	1941	1483	525	504	36	10123	19644	12008	3917	2651	1238	840	52	7976	7336	4848	5474	550	409	81	599	686	504	428	287	87
f__Erysipelotrichaceae;g__Bulleidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Erysipelotrichaceae;g__Catenibacterium	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Erysipelotrichaceae;g__Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
f__Erysipelotrichaceae;g__Holdemania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	11	0	0	0	0	0	0
f__Erysipelotrichaceae;g__Sharpea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Erysipelotrichaceae;g__[Eubacterium]	130	25	27	229	201	190	296	132	135	76	0	9	0	82	164	197	94	66	0	242	115	107	39	24	29	0	0	268	65	0	18	0	0	17	74	242	234	303	572	201	264	0	718	640	479	333	589	295
f__Fusobacteriaceae;g__Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Leptotrichiaceae;g__Leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Victivallaceae;g__Victivallis	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0
o__Phycisphaerales;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Caulobacteraceae;g__Brevundimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Caulobacteraceae;g__Mycoplana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Alphaproteobacteria;o__RF32;f__;g__	288	0	0	0	0	0	0	0	0	0	0	252	116	96	41	20	0	0	89	0	0	0	0	0	0	0	73	61	26	34	0	0	0	0	86	20	66	31	82	13	0	155	72	75	0	23	0	0
f__mitochondria;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
